CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg
2000dk,16.848,32.4064,0.01649,34.1436,0.28269,34.16527333072595,-0.0216733307259531,0.28269,58787,183050,587983,15567,1272515,3565581
2000dm,274.746,16.2482,0.01472,34.0109,0.270222,33.91589604458839,0.095003955411606,0.270222,0,0,0,0,37207,983452
2001br,277.607,34.1036,0.02046,34.8118,0.300223,34.639980330515435,0.171819669484563,0.300223,95140,386841,1538796,23724,2857665,6319316
2002de,244.127,35.7084,0.0305,35.3638,0.283742,35.52267142458615,-0.1588714245861524,0.283742,52807,207012,834489,13186,1893275,5417247
2002jy,20.3178,40.4987,0.0187,34.9988,0.187715,34.441879852468034,0.5569201475319687,0.187715,0,0,0,0,0,0
2003kc,146.643,30.6553,0.0341,35.8566,0.205773,35.770523081693135,0.0860769183068654,0.205773,60092,242724,979488,14447,2131151,5696538
20040,328.879,0.8151,0.28655,40.6389,0.217509,40.71959602270656,-0.0806960227065616,0.217509,121403,454886,1666283,29980,3576013,9126330
2004br,187.783,0.6132,0.02426,34.807,0.18246,35.01588403420042,-0.2088840342004161,0.18246,66809,253990,1022575,17169,2319387,6433872
2004gs,129.597,17.6277,0.02829,35.5996,0.235009,35.35589709211966,0.2437029078803405,0.235009,68368,251253,989375,18166,2219980,6319286
2004gu,191.603,11.9489,0.0467,36.4713,0.19409,36.47262618018118,-0.0013261801811808,0.19409,66695,253678,997251,16623,2235361,6449827
2005de,270.597,26.0521,0.01495,34.1793,0.26677,33.949928923674754,0.2293710763252434,0.26677,105826,445615,1698310,25027,3663654,9046921
2005kc,338.531,5.5684,0.01386,34.0187,0.307194,33.78380361956941,0.234896380430591,0.307194,64788,246982,997228,16695,2255865,6808551
2006ev,322.747,13.9892,0.02759,35.6739,0.216353,35.300398912812724,0.3735010871872788,0.216353,83787,338795,1365373,20771,3116254,8703455
2006qo,120.035,56.3688,0.02871,35.4779,0.275376,35.388552930960714,0.0893470690392845,0.275376,48207,187327,741972,12480,1698665,4811125
2008050,204.198,5.1418,0.04627,36.2636,0.218105,36.45188692693954,-0.1882869269395399,0.218105,64872,263087,1047776,16111,2345090,6641877
2008051,229.995,4.9046,0.03835,36.0125,0.17035,36.03212555178247,-0.0196255517824681,0.17035,70822,282136,1106937,17303,2516235,7053021
2008bf,181.012,20.2452,0.02451,35.1061,0.235556,35.038538686073416,0.067561313926582,0.235556,62884,247183,1003237,16069,2276252,6340881
2008gg,21.346,-18.1724,0.03107,35.67,0.236835,35.56376384482163,0.1062361551783723,0.236835,111406,453918,1805268,28006,4071176,11457930
2009D,58.5951,-19.1817,0.02476,35.008,0.162015,35.06096726178399,-0.0529672617839906,0.162015,110602,441740,1720974,27278,3880579,10766627
2009dc,237.801,25.7078,0.02179,34.3468,0.19901,34.77883449732403,-0.4320344973240253,0.19901,67659,265338,1043329,17577,2327341,6252415
2009na,161.756,26.5439,0.02209,34.7477,0.199095,34.80899916138554,-0.0612991613855413,0.199095,58918,232491,935020,14813,2091908,5918578
2010Y,162.766,65.7797,0.01142,33.7403,0.254135,33.35942260335601,0.3808773966439887,0.254135,44708,179711,728931,11125,1648474,4511131
2010ag,255.973,31.5017,0.03336,35.8159,0.198961,35.72173707667897,0.0941629233210292,0.198961,71588,274679,1080728,18415,2422791,6733916
2010kg,70.035,7.35,0.01595,33.9999,0.334729,34.09211606894792,-0.0922160689479199,0.334729,0,0,0,0,0,0
