CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
12977,13.6956,-0.2509,0.24643,40.2829,0.214739,40.34751449226054,-0.06461449226053873,0.214739
1298281,40.2679,-0.9553,0.23508,40.1629,0.275154,40.232077260969874,-0.06917726096987309,0.275154
1300516,34.5464,-5.0101,0.31043,40.6197,0.336421,40.91881479880358,-0.29911479880357916,0.336421
13044,332.543,0.5033,0.12455,38.7616,0.12587,38.714295412079295,0.047304587920706354,0.12587
1305626,35.6546,-4.1333,0.32573,41.0478,0.141716,41.039144588975276,0.008655411024726334,0.141716
1306029,40.8416,-1.9578,0.42895,41.8266,0.250757,41.736076365868776,0.09052363413122322,0.250757
1306073,36.8506,-3.7494,0.32859,41.1,0.144172,41.06105693336829,0.038943066631709655,0.144172
13070,357.785,-0.7463,0.19719,39.8018,0.14158,39.80536358045043,-0.0035635804504323687,0.14158
1308326,42.2701,0.5823,0.32622,41.0504,0.157201,41.04291138298791,0.007488617012093357,0.157201
1308582,37.1372,-4.3728,0.36705,41.2088,0.151911,41.33976533829163,-0.13096533829163093,0.151911
1314897,36.6066,-4.1552,0.33663,41.0367,0.18424,41.121726110661044,-0.08502611066104038,0.18424
1316431,42.2394,-0.4084,0.19815,39.8879,0.174409,39.81708058799896,0.07081941200104325,0.174409
1316437,42.5626,-0.745,0.47196,42.0374,0.25691,41.9812471804617,0.05615281953829765,0.25691
1317286,36.0079,-6.8106,0.28198,40.5986,0.166629,40.67973150869896,-0.08113150869895946,0.166629
1317666,36.7711,-5.0031,0.1412,39.1237,0.260864,39.00900881006358,0.11469118993642269,0.260864
13254,42.0587,-0.347,0.1799,39.9979,0.268081,39.58473290564051,0.41316709435949406,0.268081
1330642,37.0406,-4.0471,0.63392,42.5972,0.147609,42.74760630714606,-0.1504063071460564,0.147609
1332413,36.2749,-5.853,0.60873,42.6179,0.230751,42.641520609356,-0.02362060935600141,0.230751
1334470,35.0537,-4.9472,0.51876,42.1949,0.250421,42.22537188985035,-0.03047188985035376,0.250421
1334620,35.7529,-6.2642,0.19624,39.8927,0.29342,39.79371641941105,0.09898358058894985,0.29342
1334644,35.1072,-5.7725,0.28806,40.7075,0.188011,40.73263898443638,-0.0251389844363743,0.188011
1334645,36.3796,-5.879,0.24701,40.1983,0.137434,40.35328064137794,-0.15498064137793932,0.137434
