CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
05D4ff,334.084,-18.0426,0.40048,41.4918,0.158339,41.56087674537349,-0.0690767453734935,0.158339,0,0,0,0,0,728679
06D3bz,214.292,53.0248,0.72767,43.008,0.257091,43.10997610539723,-0.1019761053972274,0.257091,11466,44944,178033,725067,1635417,4594291
06D3do,214.247,52.8825,0.72667,43.0811,0.248363,43.10635253857959,-0.0252525385795934,0.248363,11098,45393,179036,721399,1634169,4586291
06D3et,215.52,52.3384,0.57661,42.4263,0.166843,42.50004607837036,-0.0737460783703625,0.166843,11130,44125,176180,707132,1633092,4600417
06D3fp,215.077,52.8972,0.26848,40.4553,0.240404,40.55838711729739,-0.1030871172973917,0.240404,10422,43244,178567,712604,1641959,4597105
090201,353.328,-0.9507,0.50817,42.0193,0.184312,42.171990754748165,-0.1526907547481641,0.184312,27283,116275,455610,1655658,3400653,8408488
091869,351.908,-1.7625,0.28843,40.7458,0.165419,40.73582531589023,0.0099746841097712,0.165419,24436,91728,343589,1436071,3191476,8288916
100090,131.828,43.4081,0.17282,39.7263,0.252568,39.488649216126575,0.2376507838734269,0.252568,12511,47614,189074,766900,1725851,4832416
100101,132.141,43.9852,0.42967,41.9219,0.19807,41.74036552575,0.1815344742500002,0.19807,11738,46417,181032,737473,1715913,4803769
100358,352.444,0.5905,0.36613,41.136,0.226225,41.33342036919453,-0.1974203691945248,0.226225,27228,112512,443862,1667558,3475381,8459797
10550,349.675,-1.2049,0.29923,41.0113,0.341681,40.82720813664015,0.1840918633598463,0.341681,31803,121286,442575,1551366,3346995,8389234
110426,130.013,44.8943,0.54089,42.2791,0.233447,42.33369777601487,-0.0545977760148659,0.233447,12000,46262,182383,739287,1669701,4764001
110716,128.986,43.4945,0.31577,41.2033,0.233304,40.961422221859536,0.2418777781404628,0.233304,12518,48755,193978,757194,1708947,4826453
120094,150.526,2.0878,0.45169,41.9923,0.154715,41.86841475863869,0.1238852413613074,0.154715,18222,69881,264766,1014077,2265125,6331138
120143,163.682,58.6266,0.1736,39.3493,0.151501,39.499412438629456,-0.1501124386294563,0.151501,11103,42989,181578,753083,1656608,4527023
1258940,42.7148,-0.5251,0.42594,41.7517,0.175449,41.71807251599999,0.0336274840000072,0.175449,23109,95552,385520,1595867,3566329,9409863
1259412,36.3454,-5.3241,0.30477,40.9018,0.140115,40.87290907679695,0.0288909232030505,0.140115,25641,102434,411536,1716915,3788054,10464280
1261579,36.1196,-4.9673,0.32214,40.8774,0.138773,41.011386356314574,-0.1339863563145726,0.138773,26974,103118,421099,1711686,3804521,10515437
1263369,43.2295,-0.5418,0.31252,40.9565,0.149709,40.935570731084006,0.0209292689159923,0.149709,21672,88993,373876,1553481,3446851,9164852
1279500,36.9257,-4.3149,0.23471,40.2784,0.167703,40.22822806175505,0.0501719382449508,0.167703,25878,103173,420967,1685693,3793178,10559202
1283878,37.1332,-4.0413,0.31287,41.0195,0.203499,40.93836663160134,0.0811333683986603,0.203499,25186,102912,416365,1676276,3791783,10576992
12860,323.694,1.1759,0.12042,38.7926,0.252257,38.63546571537832,0.1571342846216765,0.252257,32501,125633,479079,1792735,3945143,9915645
1287626,35.9318,-5.9612,0.30396,40.719,0.22209,40.86627526769084,-0.1472752676908371,0.22209,23985,104605,416307,1678855,3799756,10436621
1289664,40.8968,-1.1299,0.25908,40.2879,0.178603,40.47052299229657,-0.1826229922965723,0.178603,28084,112113,441123,1685127,3705065,10210559
12927,41.7861,0.7751,0.18892,39.4384,0.149571,39.70217550463772,-0.2637755046377137,0.149571,25574,99969,411541,1651741,3665995,9653800
12950,351.667,-0.8403,0.08141,37.7215,0.219648,37.73073694675067,-0.0092369467506685,0.219648,26648,108642,418215,1632292,3480633,8399377
