CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,log_rho_05,log_rho_10,log_rho_20,rho_05_std,rho_10_std,rho_20_std,grad_logrho_logr,abs_grad,multiscale_var,sparse_reconnection,neck_score,abs_resid,low_density_tail,high_density_bulk
1338266,34.905,-5.8691,0.64846,43.0397,0.272369,42.80703105560486,0.2326689443951437,0.272369,110462,423393,1670209,5.14812695243144,5.129594826559985,5.123561215573051,0.421134620990214,0.39670595597806074,0.38627069637084005,-0.017720433370690142,0.017720433370690142,0.012801820041519375,0.0,-0.7613426390002038,0.2326689443951437,0,0
1345582,33.7065,-4.6747,0.45878,41.9679,0.252185,41.90840846046906,0.0594915395309385,0.252185,109179,433721,1749463,5.143053208603771,5.140061579051765,5.143695146093651,0.4173414258421355,0.40369772498762174,0.3984130621260294,0.00046306001660549774,0.00046306001660549774,0.0019392756622525049,0.0006419374898802843,-0.8910565222710194,0.0594915395309385,0,1
13727,317.588,0.9326,0.22534,40.1329,0.188923,40.12883086263482,0.0040691373651782,0.188923,125397,481958,1769767,5.20320072852653,5.1858602219117005,5.1487064741342765,0.46230847354678406,0.4342911236640045,0.40143529258054766,-0.03930929528432257,0.03930929528432257,0.027840970724620228,0.0,-0.5778976699680369,0.0040691373651782,0,1
13830,351.562,-0.3823,0.32985,40.8444,0.209813,41.07065477922046,-0.2262547792204614,0.209813,110371,431731,1682885,5.147769030905503,5.1380643670864545,5.1268448335058325,0.4208670343240974,0.4023635915268804,0.38825097984799484,-0.015093617911543386,0.015093617911543386,0.01047123417135287,0.0,-0.7867256814869849,0.2262547792204614,0,1
140152,162.393,57.6157,0.20864,39.8798,0.15965,39.94179308726686,-0.0619930872668561,0.15965,50033,188703,744502,4.804175342854153,4.778631233403579,4.772656588073917,0.16399204128261305,0.16226300186767686,0.17464722186229306,-0.02273597560822075,0.02273597560822075,0.016741315247687825,0.0,-0.7159992057809494,0.0619930872668561,1,0
14157,51.1367,1.0224,0.21083,39.806,0.155718,39.96709439044967,-0.1610943904496693,0.155718,58137,238954,845344,4.869370206200612,4.881166249627382,4.827824124238432,0.21273254685895351,0.23075618056770184,0.20791764569914964,-0.02996916320760208,0.02996916320760208,0.02801965354278132,0.0,-0.6163741612864914,0.1610943904496693,0,0
14437,332.081,-1.1964,0.14792,39.0382,0.157931,39.11880428243464,-0.0806042824346349,0.157931,92846,364123,1499533,5.072677994351046,5.064099432232827,5.076746453252499,0.36472802431550433,0.35295516807271665,0.3580376612832887,0.0029347727405934164,0.0029347727405934164,0.006456149865579896,0.00406845890145302,-0.800459388753725,0.0806042824346349,0,0
150254,183.211,47.1458,0.27508,40.5286,0.241865,40.61839770321263,-0.089797703212632,0.241865,46195,191316,770532,4.769514491308255,4.784603689482477,4.787581379176408,0.1380791496629809,0.16625259017180444,0.18364806112717605,0.013032504765840273,0.013032504765840273,0.00968644219768598,0.01806688786815247,-0.523447166568503,0.089797703212632,0,0
15440,39.7207,0.0901,0.2613,40.447,0.207526,40.49153620841223,-0.0445362084122251,0.207526,100785,423668,1716929,5.108310327876108,5.129876814999379,5.135542725120505,0.3913672081672586,0.39689432367216276,0.393496502135672,0.01964402222800497,0.01964402222800497,0.01436906030339466,0.027232397244397077,-0.3263685952410681,0.0445362084122251,0,0
160039,184.975,48.1403,0.27085,40.4887,0.166124,40.58009150712589,-0.0913915071258912,0.166124,52757,201428,754651,4.82719844217557,4.806972123976819,4.778536863340335,0.1812044019389548,0.18119465813536417,0.17819349679122404,-0.035101909233710385,0.035101909233710385,0.024445917348573366,0.0,-0.6164873875261602,0.0913915071258912,0,0
