CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg,log_rho_025,log_rho_050,log_rho_100,log_rho_200,log_rho_300,log_rho_500,rho_100_std,full_grad_logrho_logr,abs_full_grad,multiscale_var,grad_0.25-1.00deg,abs_grad_0.25-1.00deg,grad_0.50-2.00deg,abs_grad_0.50-2.00deg,grad_1.00-3.00deg,abs_grad_1.00-3.00deg,grad_2.00-5.00deg,abs_grad_2.00-5.00deg,best_window_abs_grad,graph_degree,neighbor_log_rho_mean,neighbor_log_rho_std,own_minus_neighbor,abs_own_minus_neighbor,neighbor_high_low_pairs,corridor_betweenness,graph_neck_score,abs_resid
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539,50444,200366,806756,12093,1808583,5017991,4.789540074231714,4.807728245004146,4.804676323053774,4.8075328783193365,4.8059463023157365,4.80544008323326,0.17966106786861466,0.003922046649584399,0.003922046649584399,0.006930377446953494,0.010918495556623603,0.010918495556623603,-0.00014092727366468366,0.00014092727366468366,0.0014752786722907053,0.0014752786722907053,-0.0022289706783002947,0.0022289706783002947,0.00014092727366468366,7,4.787407311705225,0.028846939301611446,0.017269011348548524,0.017269011348548524,0.0,0.0,-1.2668509630242948,0.0892324678996701
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.27362253528853,-0.1881225352885209,0.188829,48881,195292,754197,12098,1643957,4552754,4.789719586689072,4.794059085328115,4.7935368042042885,4.778275512376708,4.764498335814343,4.763184398634319,0.1722198923240112,-0.010836131834235593,0.010836131834235593,0.014139497888403702,0.0027535403895984824,0.0027535403895984824,-0.011385441212252092,0.011385441212252092,-0.02595658388050109,0.02595658388050109,-0.015878467273707366,0.015878467273707366,0.011385441212252092,6,4.767150212154111,0.031176063488469487,0.02638659205017735,0.02638659205017735,0.0,0.0,-1.2644710846434861,0.1881225352885209
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.0523044862965065,0.19588,50409,197924,801056,12930,1798329,5001012,4.818602221670392,4.807426816071979,4.799350780917616,4.804453555813355,4.803477007170657,4.803968102119894,0.1761036167398201,-0.0040469265107292455,0.0040469265107292455,0.006598137325799796,-0.013886979051998306,0.013886979051998306,-0.002144753915194773,0.002144753915194773,0.004144143113545928,0.004144143113545928,-0.0004663559372570474,0.0004663559372570474,0.002144753915194773,5,4.780802734694076,0.032311743166433406,0.01854804622354056,0.01854804622354056,0.0,0.0,-1.2633106572483475,0.0523044862965065
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.49769496432906,-0.0089949643290623,0.202103,50374,204341,806311,12797,1818304,5034409,4.8141122157948635,4.807125177782995,4.81320776703459,4.807293259246191,4.808274350826772,4.806858700026306,0.18536005479686407,-0.001854279374786402,0.001854279374786402,0.003286502225425276,-0.0006524218705924643,0.0006524218705924643,0.00012124514670953234,0.00012124514670953234,-0.004925865813420918,0.004925865813420918,-0.0005719944156146105,0.0005719944156146105,0.00012124514670953234,5,4.778031337470682,0.029290509003284105,0.035176429563907874,0.035176429563907874,0.0,0.0,-1.2663977274478713,0.0089949643290623
050301,244.724,55.7829,0.34704,41.1174,0.244272,41.19832050921708,-0.0809205092170799,0.244272,51565,204832,812252,12899,1832890,5076589,4.81755982026104,4.817273562910376,4.814250053063623,4.81048146003437,4.811744256584311,4.810482208584084,0.18605629970784449,-0.002707274536437629,0.002707274536437629,0.003239796450304994,-0.002387492361104867,0.002387492361104867,-0.00489946656821097,0.00489946656821097,-0.0026207248096422214,0.0026207248096422214,-0.0001043379992084585,0.0001043379992084585,0.00489946656821097,7,4.787559887964809,0.031861497054406246,0.026690165098814056,0.026690165098814056,0.0,0.0,-1.2637707147214967,0.0809205092170799
050303,241.437,56.0744,0.32829,41.3079,0.308428,41.05876672249343,0.2491332775065657,0.308428,44772,190227,775943,10965,1800400,4969306,4.747018351509253,4.755926313749797,4.782124569194881,4.790620515266283,4.803976863354023,4.801205946590349,0.1645965429488095,0.02035585593848964,0.02035585593848964,0.023702725156914184,0.025323783079711688,0.025323783079711688,0.025026576237717837,0.025026576237717837,0.019068796938977898,0.019068796938977898,0.01083014300765923,0.01083014300765923,0.025026576237717837,8,4.7869816713992135,0.034062399507348566,-0.004857102204332442,0.004857102204332442,0.0,0.0,-1.2615218521681038,0.2491332775065657
05D1ke,36.6929,-4.8625,0.68867,42.8137,0.226508,42.96498658679509,-0.151286586795095,0.226508,104564,418113,1719492,26935,3786268,10495316,5.1373032133418235,5.124296460426017,5.1241448368819995,5.136190548140844,5.126819083560231,5.12590567915793,0.39306537414879794,-0.0016885524022577955,0.0016885524022577955,0.006010023045641591,-0.00949176223236907,0.00949176223236907,0.008579770681039808,0.008579770681039808,0.004043413584717911,0.004043413584717911,-0.010822958399167686,0.010822958399167686,0.008579770681039808,3,5.129766708460003,0.005590360712277267,-0.005621871578003201,0.005621871578003201,0.0,4.534736078360239e-05,-1.285503422493198,0.151286586795095
05D2ac,149.747,2.4895,0.48071,41.9748,0.139221,42.02856228366798,-0.0537622836679787,0.139221,67448,265716,1010754,17004,2267851,6342880,4.937546746230532,4.933885633832244,4.927269467828349,4.905436034355655,4.904222326958403,4.907196682226131,0.2615530349417495,-0.012679348202238613,0.012679348202238613,0.0153311649807372,-0.0074134892923319795,0.0074134892923319795,-0.020522048040075767,0.020522048040075767,-0.022111288565735694,0.022111288565735694,0.0020874822727821544,0.0020874822727821544,0.020522048040075767,2,4.926181168422133,0.00027806703062116403,0.0010882994062164641,0.0010882994062164641,0.0,0.0,-1.2960423826426422,0.0537622836679787
05D2bt,150.418,2.5662,0.68195,42.8376,0.239367,42.93921201426994,-0.1016120142699392,0.239367,71237,264931,1002973,17867,2269500,6307708,4.959046053761592,4.957621836820367,4.925984545339157,4.902079810969524,4.904537996306672,4.904781768000682,0.26069470937737976,-0.022165261676965448,0.022165261676965448,0.026737077041150387,-0.023848837122678355,0.023848837122678355,-0.040065102627969064,0.040065102627969064,-0.02113303280037821,0.02113303280037821,0.002843636809204904,0.002843636809204904,0.040065102627969064,2,4.930582379919528,0.004685165210295481,-0.0045978345803714404,0.0045978345803714404,0.0,0.0,-1.2915392489157724,0.1016120142699392
05D3lr,215.551,53.1843,0.6006,42.6116,0.278838,42.60639158042777,0.0052084195722343,0.278838,43589,174153,712207,10973,1648963,4614629,4.747335065821852,4.744296987651513,4.743783581167463,4.753396983631699,4.765818792145375,4.769047003757377,0.1389848422712042,0.00826753978304513,0.00826753978304513,0.011039814965350298,-0.0025618546493397583,0.0025618546493397583,0.006564259536362134,0.006564259536362134,0.019390965616960174,0.019390965616960174,0.016621926700150894,0.016621926700150894,0.006564259536362134,5,4.782494862344632,0.027862670441008,-0.03871128117716882,0.03871128117716882,0.0,0.0,-1.2678566801927782,0.0052084195722343
05D4bj,333.749,-18.1334,0.69916,42.9402,0.338462,43.00474388561084,-0.0645438856108384,0.338462,0,0,0,0,0,670958,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-1.4513923821334587,3.931606101369466,-3.361947861798997,0.39833862816355997,0.39833862816355997,1.9519757762108902,-0.8685889638065036,0.8685889638065036,-0.8685889638065035,0.8685889638065035,-0.8685889638065037,0.8685889638065037,5.705174231487387,5.705174231487387,0.8685889638065035,3,-0.49714987269413385,6.798699777552591e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,-1.2963265090616303,0.0645438856108384
05D4ev,333.377,-17.7008,0.72013,43.1612,0.243162,43.08253563256257,0.0786643674374332,0.243162,0,0,0,0,8839,956380,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,2.495059882879614,4.085541058226122,-3.361947861798997,0.9743612922674362,0.9743612922674362,1.9638753594399083,-0.8685889638065036,0.8685889638065036,-0.8685889638065035,0.8685889638065035,2.336809597840077,2.336809597840077,5.55013275731095,5.55013275731095,0.8685889638065035,3,-0.49714987269413385,6.798699777552591e-17,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,-1.2963265090616303,0.0786643674374332
06D3et,215.52,52.3384,0.57661,42.4263,0.166843,42.50004607837036,-0.0737460783703625,0.166843,44125,176180,707132,11130,1633092,4600417,4.75350429271276,4.749604679286043,4.748809198010266,4.750291241053153,4.7616185351425635,4.767707412673213,0.14234194392456126,0.004685421321774512,0.004685421321774512,0.007703707191447439,-0.0033867949218965225,0.0033867949218965225,0.0004952496283368722,0.0004952496283368722,0.010634274697240927,0.010634274697240927,0.01870569026243148,0.01870569026243148,0.0004952496283368722,5,4.781489738976071,0.029428309330544997,-0.03268054096580553,0.03268054096580553,0.0,0.0,-1.2662569242989592,0.0737460783703625
090201,353.328,-0.9507,0.50817,42.0193,0.184312,42.171990754748165,-0.1526907547481641,0.184312,116275,455610,1655658,27283,3400653,8408488,5.142878150820901,5.170400201864593,5.161444328186219,5.119761030221411,5.080170064696385,5.029628079007284,0.4179813571700875,-0.03953166941332036,0.03953166941332036,0.05383978221929104,0.01339266600660449,0.01339266600660449,-0.03652844090217232,0.03652844090217232,-0.07248840880232253,0.07248840880232253,-0.09839164396319097,0.09839164396319097,0.03652844090217232,1,5.1703339000009425,0.0,-0.008889571814723496,0.008889571814723496,0.0,0.0,-1.2963265090616305,0.1526907547481641
